freq,compensate,fitlevel,logratio
50,1.000000285578888,0.9854440360971588,0.006368158529407449
1050,1.000125951368043,0.9856271073186355,0.006342057322979252
2050,1.0004802193829923,0.9861429115496152,0.006268649233066549
3050,1.001063429802982,0.9869910952836434,0.006148361855063629
4050,1.001876143107783,0.9881710772179564,0.005981896841242372
5050,1.0029191412958416,0.9896820486518776,0.005770227268555883
6050,1.0041934295869284,0.9915229740410612,0.0055145940096455615
7050,1.0057002386160214,0.9936925917072015,0.005216501141255199
8050,1.0074410271271197,0.996189414702725,0.004877710432974942
9050,1.0094174851777213,0.9990117318298698,0.004500234967329643
10050,1.0116315378667855,1.0021576088134547,0.004086331949554634
11050,1.014085349601172,1.0056248896265354,0.003638494771888858
12050,1.01678132891783,1.009411197968037,0.0031594444027865146
13050,1.0197221338813915,1.0135139388913523,0.002652120176045942
14050,1.022910678079329,1.0179303005827895,0.002119670058441922
15050,1.0263501372395123,1.0226572562886473,0.0015654404770269728
16050,1.0300439564978106,1.0276915663896011,0.0009929657888193637
17050,1.0339958583464095,1.0330297806209778,0.00040595747617718755
18050,1.0382098512967288,1.0386682404373926,-0.00019170684921711239
19050,1.0426902392942832,1.0446030815201348,-0.0007959945520968754
20050,1.0474416319265514,1.0508302364255782,-0.0014027291094794113
21050,1.0524689554689284,1.0573454373728037,-0.002007601199878592
22050,1.0577774648181637,1.064144219168524,-0.0026061796725335615
23050,1.0633727563673945,1.071221922267303,-0.0031939223273274105
24050,1.0692607818819804,1.0785736959649757,-0.0037661864405283286
25050,1.0754478634408842,1.086194501723079,-0.004318238976299528
26050,1.0819407095143994,1.0940791166220143,-0.0048452664289845675
27050,1.0887464322556148,1.1022221369405751,-0.0053423842464015185
28050,1.095872566090217,1.1106179818593878,-0.005804645789677845
29050,1.1033270876971433,1.119260897285727,-0.006227050790427997
30050,1.1111184374812373,1.128144959797083,-0.00660455327126992
31050,1.1192555426486053,1.1372640807007788,-0.006932068900689213
32050,1.127747842005796,1.1466120102068575,-0.007204481758068803
33050,1.1366053126154876,1.1561823417113755,-0.007416650489206364
34050,1.1458384984540555,1.1659685161871678,-0.0075634138368458476
35050,1.1554585412304337,1.1759638266790793,-0.007639595534582338
36050,1.1654772135412133,1.1861614229005755,-0.007640008555938011
37050,1.175906954554109,1.1965543159285879,-0.007559458713443641
38050,1.186760908430983,1.207135382993371,-0.00739274760515921
39050,1.1980529657227874,1.2178973723600954,-0.007134674908234152
40050,1.209797807992318,1.2288329082988223,-0.006780040020825541
41050,1.2220109559468686,1.2399344961394616,-0.006323643054969615
42050,1.2347088213921045,1.2511945274082437,-0.005760285183830963
43050,1.2479087633510773,1.262605285042188,-0.005084768347145868
44050,1.2616291487287912,1.2741589486779927,-0.004291894318629446
45050,1.2758894179435627,1.28584760001172,-0.003376463138643256
46050,1.2907101559922272,1.297663228225607,-0.002333270914518151
47050,1.306113169467684,1.3095977354782795,-0.0011571069896053922
48050,1.3221215701051523,1.3216429424546086,0.0001572495196156476
49050,1.3387598654987007,1.3337905939714043,0.001615033821209736
50050,1.3560540577032103,1.3460323646351056,0.0032215001856715016
51050,1.3740317505201114,1.3583598645475896,0.00498192733248919
52050,1.392722266359425,1.370764645056189,0.006901624477345092
53050,1.4121567736774934,1.3832382045439755,0.008985938055872649
